t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
448,5,4,9.5,0,9.395,0.92,360,2.8
449,5,5,8.9,0,9.025,0.93,360,2.8
450,5,6,7.9,0,8.69,0.96,360,2.8
451,5,7,8.3,0,8.335,0.97,360,2.8
452,5,8,9.2,0,7.99,0.96,360,2.8
453,5,9,8.9,112.2222222,7.69,0.94,360,2.8
454,5,10,12.4,347.8888889,7.85,0.84,360,2.8
455,5,11,12.4,392.7777778,8.495,0.83,360,2.8
456,5,12,13.9,583.5555556,9.155,0.79,360,2.8
457,5,13,14.6,583.5555556,9.865,0.73,360,2.8
458,5,14,14.8,505,10.38,0.71,360,2.8
459,5,15,13.8,314.2222222,10.58,0.73,360,2.8
460,5,16,12.6,112.2222222,10.305,0.78,360,2.8
461,5,17,12,0,9.785,0.83,360,2.8
462,5,18,11.9,0,9.29,0.83,360,2.8
463,5,19,11.6,0,8.98,0.81,360,2.8
464,5,20,11.4,0,8.755,0.79,360,2.8
465,5,21,11.1,0,8.515,0.79,360,2.8
466,5,22,10.6,0,8.235,0.78,360,2.8
467,5,23,9.9,0,8,0.81,360,2.8
468,5,24,10.4,0,7.675,0.82,360,3.4
469,6,1,10.1,0,7.31,0.77,360,3.4
470,6,2,9.7,0,6.9955,0.8,360,3.4
471,6,3,7.2,0,6.7715,0.86,360,3.4
472,6,4,7.9,0,6.656,0.89,360,3.4
473,6,5,6.8,0,6.5255,0.94,360,3.4
474,6,6,7,0,6.248,0.95,360,3.4
475,6,7,8.1,0,6.001,0.95,360,3.4
476,6,8,7.5,0,5.8715,0.94,360,3.4
477,6,9,8.3,145.8888889,5.7445,0.93,360,3.4
478,6,10,9.7,347.8888889,5.9005,0.83,360,3.4
479,6,11,11.1,527.4444444,6.6025,0.79,360,3.4
480,6,12,11.9,628.4444444,7.475,0.73,360,3.4
481,6,13,12.6,617.2222222,8.27,0.71,360,3.4
482,6,14,12.5,505,8.79,0.71,360,3.4
483,6,15,11.9,325.4444444,8.99,0.75,360,3.4
484,6,16,10.5,112.2222222,8.805,0.81,360,3.4
485,6,17,10.2,0,8.38,0.84,360,3.4
486,6,18,9.8,0,7.955,0.85,360,3.4
487,6,19,9.9,0,7.67,0.83,360,3.4
488,6,20,9.8,0,7.43,0.83,360,3.4
489,6,21,9.8,0,7.305,0.82,360,3.4
490,6,22,9.4,0,7.165,0.81,360,3.4
491,6,23,9.3,0,7.0195,0.82,360,3.4
492,6,24,9.1,0,6.943,0.83,360,3.7
493,7,1,8.9,0,6.9005,0.83,360,3.7
494,7,2,9.3,0,6.8355,0.8,360,3.7
495,7,3,9.2,0,6.697,0.77,360,3.7
496,7,4,8.9,0,6.693,0.81,360,3.7
497,7,5,8.8,0,6.755,0.83,360,3.7
498,7,6,8.8,0,6.8775,0.85,360,3.7
499,7,7,8.6,0,6.984,0.87,360,3.7
